,views
242,3162463.037011535
243,162774.49989574845
244,323786.56032978697
245,1655054.834449057
246,964891.8079779197
247,1522088.8976193343
248,45415.77190992725
249,566202.1482722166
250,2071401.3052963968
251,578287.7321029557
252,1610646.5081645923
253,1217140.2581147335
254,1867604.6391089738
255,494799.5937311135
256,247123.52373170317
257,4312817.466303844
258,44042.319700542605
259,1012919.317145267
260,2545859.7145285676
261,1935087.2256332405
262,4809759.637489039
263,776432.2377548229
264,183776.9729542106
265,15074241.338660594
266,683354.4926818667
267,395760.59722419013
268,1522088.8976193343
269,1789924.1196985582
270,1452647.100368296
271,3035723.460108529
272,68671.59880619077
273,368348.1754187811
274,1185760.196903651
275,769162.4035543521
276,1023111.443258259
277,787191.5575336175
278,1771146.0608412763
279,9096440.728097742
280,670996.1806340718
281,4224469.288122197
282,6039160.551967777
283,166831.55731205107
284,13665224.199898636
285,597099.3857822701
286,524825.0980573116
287,1111405.9893785045
288,129050.2451340321
289,15836438.871421235
290,1666569.12067658
291,879613.0582473322
292,3648015.5544176186
293,1701521.4120368399
294,135024.4088007582
295,215519.35911672143
296,751062.8824178728
297,2365542.312664452
298,283236.2851846367
299,1203624.480127149
300,2150548.546284861
301,217065.1517367391
302,762447.989415419
303,1749546.8877606818
304,1126968.3544470507
305,1043229.5700454244
306,789893.4164746006
307,21974826.709006686
308,1603653.5464004895
309,85432.05353449378
310,667781.2120892496
311,4517856.168963173
312,358513.2868663047
313,1023160.1089667899
314,1014275.2682847487
315,976303.8873693204
316,853674.6680843246
317,712555.4843874692
318,17752565.131506324
319,8689.88126358972
320,73377.56691816426
321,4902823.070287365
322,2961731.0301138842
323,811013.4941006408
324,36526.47600888135
325,692825.5795996703
326,1522088.8976193343
327,1263.3863761823159
328,1326734.0353722575
329,2335693.8567837276
330,678863.5103688438
331,1598458.853757673
332,573829.8113384244
333,263606.1726615981
334,1867604.6391089738
335,478553.9417577938
336,14872.930802833522
337,6528331.983230985
338,225785.14185110037
339,1382932.156008254
340,566374.6033314576
341,167634.75007168995
342,1455627.3710262931
343,913806.0692893609
344,307585.59450427233
345,1341335.7006248352
346,5113380.675739483
347,2414264.347379529
348,8960481.095813693
349,702624.1238093629
350,855867.8053322992
351,142414.48849906377
352,1771146.0608412763
353,777109.9076741555
354,42150.81597533263
355,853674.6680843246
356,271285.65186666837
357,967327.4725547286
358,89760.89036900993
359,531865.9428878094
360,6406362.878602174
361,1994745.0568627564
362,6192969.15555616
363,138763.7643288027
364,268705.5340892377
365,1249661.7748460537
366,681518.7744834027
367,24073.728203891777
368,1958685.9248532378
369,2995014.731143158
370,284028.9323144825
371,400475.6730191568
372,288088.1082577526
373,1900808.6660630328
374,442062.4862960146
375,746248.5706451482
376,1347398.9193961148
377,470580.0011736185
378,826381.5202677615
379,505973.7425929676
380,2150548.546284861
381,1341335.7006248352
382,1965669.4326112117
383,2176586.813386508
384,2226850.1598056694
385,475250.75595571334
386,1093207.7341823475
387,436193.36443870445
388,461944.12885865103
389,142907.84998968546
390,559869.8231070315
391,662738.9856610144
392,666321.575891169
393,4854659.188657665
394,744589.6794249613
395,1522088.8976193343
396,142280.62846348877
397,1107147.4966231196
398,373210.6975715079
399,1170454.7187321177
400,577433.0358800422
401,1979512.1342015066
402,185843.6696524208
403,985791.9420810874
404,282175.37213481753
405,3203872.578511809
406,20306880.729942113
407,27275.255299955374
408,402288.16835954087
409,275491.58428500616
410,153026.91053565685
411,2188094.9117171587
412,1197909.0366423165
413,21962.851370815886
414,2300241.2791374363
415,1842376.328157262
416,65900.15167439985
417,1522088.8976193343
418,4554.0191947727
419,1206805.5429637155
420,4635.840759017039
421,690679.2531918152
422,4312817.466303844
423,763173.8519650472
424,16187.969037446892
425,2682861.4612549376
426,261817.2324444952
427,1712248.055313342
428,341959.4886028797
429,-192595.3562031032
430,352254.9358498219
431,395684.5224380337
432,1562737.904766485
433,216416.95529064792
434,128445.46672416665
435,1493284.9953625703
436,912855.5890528063
437,338479.81142187794
438,1935087.2256332405
439,1626425.2768836275
440,412994.93765835697
441,405238.9853976008
442,1522088.8976193343
443,1365861.1559299084
444,17146.112685411004
445,663824.7106407406
446,380394.5793814759
447,1522088.8976193343
448,959187.5846480965
449,512871.4941285867
450,1522088.8976193343
451,182790.73408235633
452,-22359.069391689496
453,410547.90854989155
454,660666.7085593083
455,47978.943995920476
456,990983.6940755539
457,651239.3280696368
458,1434228.9044458987
459,728775.6617804136
460,585332.0776483471
461,592799.4577809658
462,1411977.0310311206
463,6108242.696638718
464,532027.1603392097
465,8804654.144878158
466,9697633.988468332
467,460208.24002308375
468,1077996.6432243765
469,605662.9277658991
470,1793741.1793276328
471,1522088.8976193343
472,421343.07780215703
473,203935.63679303532
474,492781.4834446679
475,9697633.988468332
476,2720957.214188043
477,1522088.8976193343
478,795398.5509696365
479,109665.34101522551
480,1609793.9401779773
481,938351.7934108456
482,584533.0549886881
483,62552.14250307786
484,59405.270160670625
485,88605.33059296361
486,874236.6970072847
487,20705727.10819681
488,1289558.4526335972
489,11876.339447962353
490,8084388.4907441735
491,2155463.3266555173
492,151648.402993073
493,1150666.4361072688
494,1251776.0071761983
495,3824607.9929447565
496,1522088.8976193343
497,4191993.8139852183
498,711543.5685859811
499,289326.56784056476
500,40252.53784020175
501,1397928.5939015758
502,585332.0776483471
503,215667.5521492248
504,1799703.3368095479
505,2682861.4612549376
506,1174160.9795667282
507,246963.5752636057
508,125334.56369907316
509,1876163.1762269018
510,732606.3472012272
511,267224.0942190767
512,107919.75461459416
513,243646.29105593287
514,1313399.868236143
515,43217.75880795973
516,2346285.5954361437
517,93711.76497077872
518,217122.10288145836
519,578765.5345314832
520,1610646.5081645923
521,1476530.8376262647
522,412229.54958098056
523,9096440.728097742
524,2741470.773103376
525,845333.6327959409
526,130482.97100591683
527,82412.85822979594
528,1174876.862663219
529,1499990.3958679503
530,2993671.4786212305
531,12073807.583154114
532,511504.7970321333
533,2848.9756326924544
534,514304.2208817762
535,44173.41690198821
536,6256861.622536692
537,23375.043543419335
538,18895.323989730794
539,347024.1652078007
540,1154028.6715146173
541,683293.8428967476
542,-19000083.016233496
543,18845.61512684659
544,8110382.990713625
545,824263.5260381273
546,437102.11177080916
547,663631.7190937616
548,333341.47270758776
549,501259.3916204197
550,561934.1925277004
551,29929481.217913553
552,27335.175377100008
553,1197106.59975379
554,1369896.8476036275
555,3388698.1559629273
556,112665.58214013581
557,481742.1783930671
558,390534.19886674476
559,321944.5255412974
560,244409.4951046377
561,1165446.3603309423
562,2471113.5773191964
563,131572.88717117324
564,527829.0400602038
565,75738.40273140161
566,18096221.54768438
567,1522088.8976193343
568,195026.05164191127
569,72643315.25534144
570,1522088.8976193343
571,1930747.2173914292
572,4800379.898859597
573,1773467.3282337051
574,638785.0495713336
575,56395.25466411095
576,171647.35521453223
577,362384.7530495052
578,1039222.4858579813
579,285373.82659679465
580,3470359.7109416565
581,1846806.7146905141
582,211281.74715181557
583,67989.93908904307
584,275625.6386635052
585,4356457.096799613
586,2400526.0549317338
587,3094223.6506170174
588,193868.85987191577
589,14993797.449252201
590,1037084.4075118678
591,35272480.06524142
592,25093522.360609367
593,7131345.141628343
594,697298.8252885651
595,258339.46891774354
596,1522088.8976193343
597,83818.80362546025
598,3663889.297960175
599,1722167.8924633686
600,1479403.8803705734
601,1522088.8976193343
602,1140142.6696551547
603,18666361.141166724
604,3513276.967040764
605,26862684.420670282
606,159356.02483879193
607,101898.43266686029
608,16239.246377704665
609,75738.40273140161
610,289182.30446564546
611,2246162.73668658
612,241641.9721467842
613,230487.8017170094
614,11595.998905703891
615,492069.0683050214
616,17595234.392680187
617,12886480.51756811
618,966210.2766589478
619,2025048.8807371075
620,1014881.4428522398
621,-3530134.940622286
622,63658.8732208556
623,93624110.80397448
624,461819.6523980978
625,1014275.2682847487
626,744589.6794249613
627,248385.79750297056
628,138407.81617270014
629,4102329.869977218
630,9761.945222030627
631,203237.10789700178
632,143117.92252600496
633,2581137.2563937753
634,1522088.8976193343
635,184049.86922624032
636,283236.2851846367
637,1185309.551672016
638,184049.86922624032
639,3174484.8214189997
640,159060.68567119376
641,1314376.8701967953
642,183778.715445071
643,228401.32541323383
644,2272008.570649023
645,2993671.4786212305
646,1598458.853757673
647,1522088.8976193343
648,1602420.6407465376
649,8941894.131488146
650,296631.39902724535
651,27275.255299955374
652,4420221.271153695
653,36930985.55173232
654,17374.595737051917
655,1039740.0866211267
656,400533.94776889984
657,581501.7139579463
658,398515.9616465869
659,22504749.62008601
660,158031.29034375772
661,252508.85518179554
662,1166075.474180818
663,4166065.6443145843
664,1522088.8976193343
665,93964.45772862458
666,442175.38571701595
667,578765.5345314832
668,954033.8362161196
669,178898.07384695276
670,4832537.630384211
671,353144.3715735944
672,1180411.4525746508
673,2685103.924463558
674,155593.32706033695
675,23160.384177028434
676,758521.8939369341
677,4051393.6484162146
678,577865.5839162299
679,1778408.3727655269
680,128880.86856515915
681,2155463.3266555173
682,1787855.3622639782
683,165000.10336482734
684,954033.8362161196
685,875993.8370163834
686,2032812.8430226159
687,3185960.508223541
688,1947854.9769135704
689,68173.77113106195
690,12884051.382436166
691,972539.3219800724
692,486676.0605386412
693,3919275.6959495666
694,719140.306759869
695,768825.3652897166
696,58675.426099587
697,163660.539787577
698,571583.1059867507
699,340717.2086226947
700,2289667.6395668755
701,6870739.343060125
702,1522088.8976193343
703,3896343.5640278077
704,306976.41964335204
705,1006131.8293367412
706,5020251.673817103
707,1522088.8976193343
708,151713.73727552523
709,-8055331.707827811
710,492181.8488725906
711,93409.42083052802
712,34236.4263654144
713,2126403.252190794
714,645186.4115483743
715,356539.86048098723
716,66089.3811063359
717,511097.030996487
718,10857745.288624154
719,3288636.5886565913
720,13570945.104517534
721,1024605.8233424968
722,1696296.5549393801
723,778667.5475483174
724,161225.40784346405
725,79336.2936201687
726,556171.9590765804
727,60032.75660352758
728,7640572.358576376
729,2935193.3476729
730,267701.8417842628
731,16462.562150029
732,201757.3114664501
733,731260.4862314991
734,3745938.674858465
735,248385.79750297056
736,125742.55899031786
737,130027.04360910854
738,2007541.9237843843
739,18756373.835722778
740,1376350.98874958
741,251955.30623084446
742,452329.0584687677
743,703948.2880033191
744,835312.409716767
745,22504749.62008601
746,134179.8313974121
747,2860093.951512317
748,4414505.002582985
749,630093.9966212985
750,2518530.056936099
751,349070.8919109134
752,11725620.564840911
753,146358.44915311388
754,526813.2650088291
755,2501679.3866512817
756,525801.2467302227
757,75554.02803051216
758,1275719.2598375056
759,1521645.749221152
760,6372554.212128964
761,6589682.910296782
762,54462.92583070928
763,2988742.940183767
764,151811.66521346034
765,1027530.122549739
766,8592449.248991653
767,36035.388318459736
768,146629.47890267358
769,25174.84681926947
770,1542230.6704750392
771,55508.76933095488
772,615374.1485421086
773,343135.8330374793
774,104526.59215039783
775,3560011.0959632527
776,949944.2673122148
777,2871126.5116516696
778,26615539.69207893
779,570471.0095989024
780,8110382.990713625
781,1476458.0585512528
782,324765.7627582655
783,2232673.0291006938
784,914708.3899307132
785,102928.36825763388
786,863054.1267947142
787,1150083.8823588917
788,53379.48847036832
789,87671.07666986273
790,2346285.5954361437
791,912291.4368068126
792,384661.0093350506
793,238347.79957899125
794,324079.2604981386
795,1989391.4264693502
796,149096.99962097616
797,574488.004846629
798,3775968.33588909
799,4480070.806554213
800,499035.5602395636
801,1910888.5816196806
802,1489266.3926069946
803,95275.37270474224
804,5603554.4548975155
805,215915.88202422787
806,1859460.3092990515
807,587407.2300842311
808,1170491.1883314953
809,1833978.907859414
810,758521.8939369341
811,108243.9261616841
812,769311.0282785842
813,27713.42269321787
814,124526.09026087006
815,26862684.420670282
816,102048.58239523624
817,326608.2743446233
818,8793227.603236724
819,48235.99554526177
820,223961.02790051792
821,15592205.789391998
822,1674635.6491844528
823,1264491.910724533
824,145519.88464345806
825,3465452.5889225486
826,3944438.3583343765
827,1522088.8976193343
828,419427.38466140395
829,7552.756425131811
830,756280.232517028
831,241970.43662522943
832,2340751.637507705
833,220182.28901066026
834,1291924.5484873466
835,756094.8309521175
836,1886742.3360127679
837,720238.676036915
838,499048.5552028733
839,169517.35766881425
840,1378722.7449819774
841,1158222.26785774
842,992257.4116867979
843,8690.116377722472
844,578055.9876788233
845,16268871.055156343
846,828067.0506525125
847,1232617.168182784
848,104774.85662481491
849,201627.290006537
850,362483.16139526316
851,267802.96360223065
852,594985.0802540435
853,338479.81142187794
854,1476458.0585512528
855,313512.7777815042
856,4691206.836311
857,1069848.729130496
858,1522088.8976193343
859,1152277.8665543557
860,251006.3606692024
861,1301609.6757842875
862,67139.1326672521
863,1522088.8976193343
864,755091.5473801987
865,5134363.753576108
866,236337.7072365859
867,2905385.1703438796
868,8583365.610277854
869,1778408.3727655269
870,579619.2435465049
871,268095.5410653709
872,1870022.2872586746
873,525801.2467302227
874,4782326.306601251
875,280059.32939755474
876,2539888.8188764695
877,339723.9636624011
878,1522088.8976193343
879,198668.79239335307
880,191473.63609906984
881,223075.89181678137
882,1239691.0591396552
883,782777.8779201272
884,1289558.4526335972
885,15154254.819574967
886,187236.69393798965
887,1522088.8976193343
888,75738.40273140161
889,708141.6971916829
890,205755.88560856087
891,1754939.9487840747
892,170892.9726180141
893,366678.4769873037
894,26108.615635650465
895,96488.09668282559
896,718850.3537100919
897,3780994.3865878107
898,52477.32334430632
899,3446693.496457311
900,408570.3497753793
901,447335.32810861105
902,9388269.238618549
903,220182.28901066026
904,248780.04065604205
905,4283630.305553917
906,915099.1062413491
907,3318577.528463549
908,1329804.5741551302
909,63550.72755108215
910,2501865.5621786686
911,79444.00259349425
912,91549.1855003729
913,409476.03997725924
914,1220286.6378219416
915,-108861.22553401114
916,872688.6197915375
917,755550.3041020404
918,526988.9070544518
919,215667.5521492248
920,2150048.089902596
921,821244.1969888483
922,366191.1773268117
923,21519.921284919372
924,546896.7373676549
925,3515327.8396896617
926,47978.943995920476
927,22206756.86477459
928,2961731.0301138842
929,177617.47566377814
930,340717.2086226947
931,31262.510223050835
932,913529.3750675223
933,285916.6821764924
934,538228.5565044859
935,718665.9161775532
936,189209.71709726844
937,639491.7036195893
938,2099788.688968676
939,1089732.1253469232
940,302385.62389399414
941,1562951.0763253146
942,271794.0886864199
943,6952473.6763463095
944,12884051.382436166
945,564472.9078304854
946,5627778.778735359
947,3902393.713637476
948,347024.1652078007
949,14837154.175670983
950,1655054.834449057
951,42584.767600192456
952,415027.996734543
953,206936.33361292048
954,193927.70682224096
955,400533.4597489303
956,14415417.068419313
957,578765.5345314832
958,1924265.0155291108
959,133578.51982287318
960,304201.52561007463
961,1597671.2296140676
962,576210.3459151639
963,841740.5233040105
964,374225.3094025159
965,4854659.188657665
966,203980.80739034852
967,2582234.5463739024
968,12068701.53540635
969,-8183336.43086299
970,2340751.637507705
971,13351690.316363467
972,134948.56671729241
973,1481088.7876200234
974,347311.351728759
975,318437.3928762409
976,1214396.8003658652
977,1778408.3727655269
978,167114.42759356787
979,326608.2743446233
980,436193.36443870445
981,271311.61745391437
982,5931598.267103228
983,3642057.5444007395
984,1252816.2243272674
985,570471.0095989024
986,1512679.094680859
987,14227289.599620072
988,2439845.5248800786
989,643565.1469171776
990,680406.411691365
991,396405.6023344337
992,15154254.819574967
993,158555.38810963347
994,10515.739431683207
995,1522088.8976193343
996,487226.3514749474
997,457701.703013425
998,772754.414883367
999,945720.4986673172
1000,104814.1875308759
1001,1522088.8976193343
1002,254058.95758640207
1003,382923.7712048427
1004,1158222.26785774
1005,1266634.5014492087
1006,57766.33249198203
1007,1855458.1527259552
1008,28211091.839932974
1009,56149575.42130697
1010,124526.09026087006
1011,6851012.308522128
1012,1107147.4966231196
1013,422969.3377851816
1014,1203624.480127149
1015,768065.9051624562
1016,-4882598.784883914
1017,260477.82479069266
1018,1221002.611053211
1019,1302689.0779957403
1020,232956.70254621212
1021,3369034.6182907345
1022,964891.8079779197
1023,400533.94776889984
1024,2856185.401223953
1025,1522088.8976193343
1026,132602.23210816598
1027,563691.0470652895
1028,1968490.485039975
1029,508875.2982046155
1030,25759.25243746466
1031,495767.75729507743
1032,9618007.863397522
1033,44173.41690198821
1034,1175168.562282255
1035,51636.19705558126
1036,143117.92252600496
1037,149259.36243121722
1038,32763.581101577263
1039,232794.73134144885
1040,2300241.2791374363
1041,56759.32108193613
1042,736272.9034249908
1043,3711753.462811292
1044,2399451.974844557
1045,265696.9080547232
1046,3203872.578511809
1047,515387.92719882575
1048,26862684.420670282
1049,1531510.8124840923
1050,1214548.1861445447
1051,40252.53784020175
1052,20508645.671202667
1053,977553.2508876978
1054,1138803.7453014099
1055,413792.2758593543
1056,555442.461042189
1057,508023.92225621734
1058,914183.1569004639
1059,1801292.4580889738
1060,890275.5726124811
1061,10352213.253556944
1062,1516714.8916346328
1063,656313.6124732879
1064,262661.89732036623
1065,12546403.771113945
1066,1059599.4857686316
1067,2973416.963623712
1068,2667.9449781815056
1069,2887475.4121027514
1070,188378.6922720226
1071,300270.4117495569
1072,261817.2324444952
1073,823012.9239209101
1074,943725.6652623158
1075,16165658.274097698
1076,18598082.70852234
1077,6521479.378813772
1078,4101346.317078283
1079,981015.2954738527
1080,1283228.3824387726
1081,1158222.26785774
1082,990983.6940755539
1083,561306.9876095719
1084,2768483.9909894727
1085,2172798.6180371353
1086,2043336.5292339055
1087,1200929.0903205264
1088,3832830.9473157553
1089,941437.5748753782
1090,24449.127191769192
1091,845333.6327959409
1092,1000016.9935694786
1093,210910.7824498166
1094,1499990.3958679503
1095,1272273.609589569
1096,441380.9695487246
1097,151811.66521346034
1098,136834.58307400788
1099,1163903.082465053
1100,598972.3116824909
1101,25380.413635733305
1102,340266.8426119115
1103,1522088.8976193343
1104,2871126.5116516696
1105,1141648.8747412688
1106,473915.3873955461
1107,12884051.382436166
1108,386916.07258152985
1109,496196.42906062223
1110,7709435.412767067
1111,56054.03380739945
1112,88735.46780757932
1113,3888269.7041183803
1114,1000016.9935694786
1115,1522088.8976193343
1116,351467.4604840067
1117,1876724.6098712322
1118,10381472.029203342
1119,32763.581101577263
1120,972539.3219800724
1121,17029382.937841024
1122,1049559.0995859634
1123,490532.43365555455
1124,2071401.3052963968
1125,1378722.7449819774
1126,4312817.466303844
1127,871831.4173792751
1128,567915.4139621838
1129,34127.60015165736
1130,384506.1351749222
1131,2099788.688968676
1132,317603.86422091094
1133,879613.0582473322
1134,2262638.11637236
1135,2418814.6910462673
1136,1898044.277954356
1137,310558.4939369615
1138,236919.60753055988
1139,1187650.0352368648
1140,967618.5768389532
1141,4380522.565450571
1142,388764.242384773
1143,210910.7824498166
1144,538228.5565044859
1145,917720.3018802658
1146,1167393.004818678
1147,465783.1893047164
1148,348473.5492353055
1149,341959.4886028797
1150,12197585.083238548
1151,25181.62516478263
1152,2527440.3590498846
1153,386916.07258152985
1154,1811929.8970113068
1155,1623369.6305874859
1156,333228.2519916666
1157,2995809.0879897894
1158,528683.9245622891
1159,533451.6439432171
1160,1430151.958230631
1161,211910.48870596942
1162,713592.3972819665
1163,123465.80245352886
1164,670642.6676293588
1165,93118.47066928842
1166,89661.48755209381
1167,247803.4257981677
1168,2457622.5210985267
1169,3748312.0595064797
1170,74491.2440593571
1171,2176586.813386508
1172,2784019.20843405
1173,149259.36243121722
1174,1434637.4620742814
1175,325138.6408269366
1176,200269.1264701935
1177,361220.03506060527
1178,532569.9652136583
1179,195616.83305614768
1180,593212.325961781
1181,148443140.82399267
1182,1522088.8976193343
1183,222957.42733332515
1184,106572.36982107279
1185,1021954.5044559084
1186,895557.70918242
1187,67585400.7070007
1188,1752774.1739001307
1189,157703.5617809042
1190,66089.3811063359
1191,62678.399638489354
1192,76762.41576961335
1193,233030.11319083627
1194,64494.524040594464
1195,587407.2300842311
1196,776432.2377548229
1197,5958034.443104823
1198,68880.31833681394
1199,1587955.69577342
1200,255122.2305593912
1201,237875.42570010992
1202,1522088.8976193343
1203,1492983.525315462
1204,1121913.1230170743
1205,1522088.8976193343
1206,154575.34872050886
1207,4902823.070287365
1208,447112.2448941008
1209,2671107.175928441
1210,1517456.4551526692
1211,928040.6894847418
1212,4032040.202578497
1213,2501865.5621786686
1214,49200813.638724275
1215,297570.5761734061
1216,76191.54241905478
1217,1778408.3727655269
1218,1522088.8976193343
1219,200649.33797025657
1220,366191.1773268117
1221,1989391.4264693502
1222,1285500.5726344597
1223,724012.7593707542
1224,900330.82465175
1225,951841.7872446931
1226,8084388.4907441735
1227,45111241.06524393
1228,272746.50574068236
1229,804805.0514991966
1230,1522088.8976193343
1231,1610646.5081645923
1232,441057.01606476586
1233,712106.9040252487
1234,1522088.8976193343
1235,32643.34641770739
1236,1778408.3727655269
1237,3949210.386831916
1238,1593621.4354337922
1239,387849.54260463454
1240,2600148.5431375485
1241,2014275.5654128136
1242,3752447.917690209
1243,743568.7816113981
1244,1522088.8976193343
1245,9882968.689935185
1246,59914.24026031862
1247,1428885.6820466677
1248,672621.1651982177
1249,577865.5839162299
1250,252229.49546899414
1251,5627778.778735359
1252,183778.715445071
1253,149096.99962097616
1254,1903876.3286326423
1255,936347.555560435
1256,6039160.551967777
1257,971883.1503223891
1258,487176.2393245073
1259,1900764.615551848
1260,1140142.6696551547
1261,441057.01606476586
1262,594920.6793900083
1263,7700268.1045752065
1264,805026.1907117157
1265,3318577.528463549
1266,7535349.636816974
1267,8079307.935712376
1268,1249661.7748460537
1269,2990976.442339319
1270,47758.109594810056
1271,553294.569638367
1272,1216091.7068446332
1273,882117.5331409583
1274,117409.19575995277
1275,712003.2233885278
1276,125773.70331144286
1277,4911782.1602349235
1278,9331.90833903919
1279,1396601.4740992915
1280,39676.403015819844
1281,2033745.8013788871
1282,526988.9070544518
1283,3888269.7041183803
1284,599079.6258661441
1285,2115824.6839121906
1286,479064.1953145091
1287,597105.6822559462
1288,520557.5604906101
1289,2297416.13728471
1290,821067.8010668701
1291,373681.91661724634
1292,924465.0854512219
1293,4574512.326033644
1294,8085846.845119012
1295,575178.7022273683
1296,1522088.8976193343
1297,5664406.33935771
1298,1249661.7748460537
1299,103629.35112117673
1300,5428.146203902317
1301,479925.2584992184
1302,5367682.355814983
1303,11317447.456293637
1304,196104.13498984976
1305,2227467.7942998903
1306,17595234.392680187
1307,12551912.727314066
1308,12884051.382436166
1309,824263.5260381273
1310,1271026.350167824
1311,2918031.4000358423
1312,2768483.9909894727
1313,113574.74399130256
1314,304201.52561007463
1315,265634.9716746444
1316,291039.90460478794
1317,231946.4883613924
1318,68671.59880619077
1319,408570.3497753793
1320,148443140.82399267
1321,2671107.175928441
1322,158031.29034375772
1323,1988765.8309902167
1324,511608.35891921166
1325,149096.99962097616
1326,1522088.8976193343
1327,413229.9076998385
1328,62346.979856596095
1329,2226850.1598056694
1330,634903.508124281
1331,1049702.522594581
1332,160493.32681766478
1333,2041992.5226099843
1334,1615649.0200216204
